,accounts,ch,chamber,id,name,party,screen_name,state,type
75,"{'office': [{'id': 1305596696, 'id_str': '1305596696', 'screen_name': 'Rep_Hunter'}], 'index': 48}",no,house,"{'bioguide': 'H001048', 'govtrack': 412283}",Duncan Hunter,R,Rep_Hunter,CA,member
76,"{'office': [{'id': 246769138, 'id_str': '246769138', 'screen_name': 'RepEdRoyce'}], 'campaign': [{'id': 182052260, 'id_str': '182052260', 'screen_name': 'EdRRoyce'}], 'index': 49}",no,house,"{'bioguide': 'R000487', 'govtrack': 400348}",Ed Royce,R,RepEdRoyce,CA,member
77,"{'office': [{'id': 246769138, 'id_str': '246769138', 'screen_name': 'RepEdRoyce'}], 'campaign': [{'id': 182052260, 'id_str': '182052260', 'screen_name': 'EdRRoyce'}], 'index': 49}",yes,house,"{'bioguide': 'R000487', 'govtrack': 400348}",Ed Royce,R,EdRRoyce,CA,member
78,"{'office': [{'id': 942156122, 'id_str': '942156122', 'screen_name': 'RepSwalwell'}], 'campaign': [{'id': 377609596, 'id_str': '377609596', 'screen_name': 'ericswalwell'}], 'index': 50}",no,house,"{'bioguide': 'S001193', 'govtrack': 412514}",Eric Swalwell,D,RepSwalwell,CA,member
79,"{'office': [{'id': 942156122, 'id_str': '942156122', 'screen_name': 'RepSwalwell'}], 'campaign': [{'id': 377609596, 'id_str': '377609596', 'screen_name': 'ericswalwell'}], 'index': 50}",yes,house,"{'bioguide': 'S001193', 'govtrack': 412514}",Eric Swalwell,D,ericswalwell,CA,member
80,"{'office': [{'id': 161411080, 'id_str': '161411080', 'screen_name': 'gracenapolitano'}], 'campaign': [{'id': 4895651115, 'id_str': '4895651115', 'screen_name': 'grace4congress'}], 'index': 51}",no,house,"{'bioguide': 'N000179', 'govtrack': 400290}",Grace Napolitano,D,gracenapolitano,CA,member
81,"{'office': [{'id': 161411080, 'id_str': '161411080', 'screen_name': 'gracenapolitano'}], 'campaign': [{'id': 4895651115, 'id_str': '4895651115', 'screen_name': 'grace4congress'}], 'index': 51}",yes,house,"{'bioguide': 'N000179', 'govtrack': 400290}",Grace Napolitano,D,grace4congress,CA,member
82,"{'office': [{'id': 24913074, 'id_str': '24913074', 'screen_name': 'RepSpeier'}], 'campaign': [{'id': 521731529, 'id_str': '521731529', 'screen_name': 'JackieSpeier'}], 'index': 52}",no,house,"{'bioguide': 'S001175', 'govtrack': 412259}",Jackie Speier,D,RepSpeier,CA,member
83,"{'office': [{'id': 24913074, 'id_str': '24913074', 'screen_name': 'RepSpeier'}], 'campaign': [{'id': 521731529, 'id_str': '521731529', 'screen_name': 'JackieSpeier'}], 'index': 52}",yes,house,"{'bioguide': 'S001175', 'govtrack': 412259}",Jackie Speier,D,JackieSpeier,CA,member
84,"{'office': [{'id': 1071102246, 'id_str': '1071102246', 'screen_name': 'RepHuffman'}], 'campaign': [{'id': 334894942, 'id_str': '334894942', 'screen_name': 'JaredHuffman'}], 'index': 53}",no,house,"{'bioguide': 'H001068', 'govtrack': 412511}",Jared Huffman,D,RepHuffman,CA,member
