,ch,chamber,name,party,screen_name,state,type
352,no,house,Niki Tsongas,D,nikiinthehouse,MA,member
353,no,house,Richard Neal,D,RepRichardNeal,MA,member
354,no,house,Seth Moulton,D,teammoulton,MA,member
355,yes,house,Seth Moulton,D,sethmoulton,MA,member
356,no,house,Stephen Lynch,D,RepStephenLynch,MA,member
357,no,house,Andy Harris,R,RepAndyHarrisMD,MD,member
358,yes,house,Andy Harris,R,Harris4Congress,MD,member
359,no,house,Anthony G. Brown,D,RepAnthonyBrown,MD,member
360,yes,house,Anthony G. Brown,D,AnthonyBrownMD4,MD,member
361,no,house,Dutch Ruppersberger,D,Call_Me_Dutch,MD,member
362,no,house,Elijah Cummings,D,RepCummings,MD,member
363,yes,house,Elijah Cummings,D,ReElectCummings,MD,member
364,no,house,Jamie Raskin,D,RepRaskin,MD,member
365,yes,house,Jamie Raskin,D,jamie_raskin,MD,member
366,no,house,John Delaney,D,RepJohnDelaney,MD,member
367,yes,house,John Delaney,D,JohnKDelaneyJKD,MD,member
368,no,house,John Sarbanes,D,RepSarbanes,MD,member
369,no,house,Steny Hoyer,D,WhipHoyer,MD,member
370,yes,house,Steny Hoyer,D,StenyHoyer,MD,member
371,no,house,Bruce Poliquin,R,RepPoliquin,ME,member
372,yes,house,Bruce Poliquin,R,BrucePoliquin,ME,member
373,no,house,Chellie Pingree,D,chelliepingree,ME,member
374,no,house,Bill Huizenga,R,RepHuizenga,MI,member
375,yes,house,Bill Huizenga,R,billhuizenga,MI,member
376,no,house,Brenda Lawrence,D,RepLawrence,MI,member
377,yes,house,Brenda Lawrence,D,BrendaLLawrence,MI,member
378,no,house,Dan Kildee,D,RepDanKildee,MI,member
379,yes,house,Dan Kildee,D,dankildee,MI,member
380,no,house,Dave Trott,R,repdavetrott,MI,member
381,no,house,Debbie Dingell,D,RepDebDingell,MI,member
382,yes,house,Debbie Dingell,D,DebDingell,MI,member
383,no,house,Fred Upton,R,RepFredUpton,MI,member
384,yes,house,Fred Upton,R,UptonForAllOfUs,MI,member
385,no,house,Jack Bergman,R,RepJackBergman,MI,member
386,yes,house,Jack Bergman,R,JackBergman_MI1,MI,member
387,no,house,John Conyers,D,RepJohnConyers,MI,member
388,yes,house,John Conyers,D,johnconyersjr,MI,member
389,no,house,John Moolenaar,R,RepMoolenaar,MI,member
390,yes,house,John Moolenaar,R,JohnMoolenaar,MI,member
391,no,house,Justin Amash,R,amashoffice,MI,member
392,no,house,Justin Amash,R,justinamash,MI,member
