,accounts,chamber,id,name,party,state,type
92,"{'office': [{'id': 47798449, 'id_str': '47798449', 'screen_name': 'RepMimiWalters'}], 'campaign': [{'id': 2327941633, 'id_str': '2327941633', 'screen_name': 'MimiWaltersCA'}]}",house,"{'bioguide': 'W000820', 'govtrack': 412618}",Mimi Walters,R,CA,member
93,"{'office': [{'id': 15764644, 'id_str': '15764644', 'screen_name': 'NancyPelosi'}], 'campaign': [{'id': 2461810448, 'id_str': '2461810448', 'screen_name': 'TeamPelosi'}]}",house,"{'bioguide': 'P000197', 'govtrack': 400314}",Nancy Pelosi,D,CA,member
94,"{'office': [{'id': 816833925456789500, 'id_str': '816833925456789505', 'screen_name': 'RepBarragan'}], 'campaign': [{'id': 303633791, 'id_str': '303633791', 'screen_name': 'Nanette4CA'}]}",house,"{'bioguide': 'B001300', 'govtrack': 412687}",Nanette Barragán,D,CA,member
95,"{'office': [{'id': 236279233, 'id_str': '236279233', 'screen_name': 'NormaJTorres'}], 'campaign': [{'id': 2409478435, 'id_str': '2409478435', 'screen_name': 'Norma4Congress'}]}",house,"{'bioguide': 'T000474', 'govtrack': 412617}",Norma Torres,D,CA,member
96,"{'office': [{'id': 1074412920, 'id_str': '1074412920', 'screen_name': 'RepPaulCook'}]}",house,"{'bioguide': 'C001094', 'govtrack': 412513}",Paul Cook,R,CA,member
97,"{'office': [{'id': 3018670151, 'id_str': '3018670151', 'screen_name': 'RepPeteAguilar'}], 'campaign': [{'id': 41533245, 'id_str': '41533245', 'screen_name': 'aguilarpete'}]}",house,"{'bioguide': 'A000371', 'govtrack': 412615}",Pete Aguilar,D,CA,member
98,"{'office': [{'id': 1089859058, 'id_str': '1089859058', 'screen_name': 'CongressmanRuiz'}], 'campaign': [{'id': 409522947, 'id_str': '409522947', 'screen_name': 'Dr_RaulRuiz'}]}",house,"{'bioguide': 'R000599', 'govtrack': 412519}",Raul Ruiz,D,CA,member
99,"{'office': [{'id': 816298918468259800, 'id_str': '816298918468259841', 'screen_name': 'RepRoKhanna'}], 'campaign': [{'id': 771152516, 'id_str': '771152516', 'screen_name': 'RoKhanna'}]}",house,"{'bioguide': 'K000389', 'govtrack': 412684}",Ro Khanna,D,CA,member
100,"{'office': [{'id': 816157667882373100, 'id_str': '816157667882373120', 'screen_name': 'RepCarbajal'}], 'campaign': [{'id': 3237898542, 'id_str': '3237898542', 'screen_name': 'carbajalsalud'}]}",house,"{'bioguide': 'C001112', 'govtrack': 412686}",Salud Carbajal,D,CA,member
101,"{'office': [{'id': 1135486501, 'id_str': '1135486501', 'screen_name': 'RepScottPeters'}], 'campaign': [{'id': 292594517, 'id_str': '292594517', 'screen_name': 'ScottPetersSD'}]}",house,"{'bioguide': 'P000608', 'govtrack': 412523}",Scott Peters,D,CA,member
102,"{'office': [{'id': 2974648323, 'id_str': '2974648323', 'screen_name': 'SteveKnight25'}], 'campaign': [{'id': 2465187012, 'id_str': '2465187012', 'screen_name': 'Knight4Congress'}]}",house,"{'bioguide': 'K000387', 'govtrack': 412614}",Steve Knight,R,CA,member
103,"{'office': [{'id': 432771620, 'id_str': '432771620', 'screen_name': 'RepSusanDavis'}]}",house,"{'bioguide': 'D000598', 'govtrack': 400097}",Susan Davis,D,CA,member
104,"{'office': [{'id': 3044993235, 'id_str': '3044993235', 'screen_name': 'RepTedLieu'}], 'campaign': [{'id': 21059255, 'id_str': '21059255', 'screen_name': 'tedlieu'}]}",house,"{'bioguide': 'L000582', 'govtrack': 412616}",Ted Lieu,D,CA,member
105,"{'office': [{'id': 50152441, 'id_str': '50152441', 'screen_name': 'RepMcClintock'}], 'campaign': [{'id': 15773898, 'id_str': '15773898', 'screen_name': 'tommcclintock'}]}",house,"{'bioguide': 'M001177', 'govtrack': 412295}",Tom McClintock,R,CA,member
106,"{'office': [{'id': 1222257180, 'id_str': '1222257180', 'screen_name': 'RepCardenas'}], 'campaign': [{'id': 2543742324, 'id_str': '2543742324', 'screen_name': 'CardenasforCA'}]}",house,"{'bioguide': 'C001097', 'govtrack': 412517}",Tony Cardenas,D,CA,member
107,"{'office': [{'id': 267938462, 'id_str': '267938462', 'screen_name': 'RepZoeLofgren'}]}",house,"{'bioguide': 'L000397', 'govtrack': 400245}",Zoe Lofgren,D,CA,member
